dt_code,fault_code
SCHEDULED RUN (OFF AT PANEL),17
SCHEDULED RUN (OFF AT PANEL),17
SCHEDULED RUN (OFF AT PANEL),17
Conveyor VFD 1 Faulted,1001
Conveyor VFD 1 Faulted,1001
PROCESS FAULT - AGC 1,1001
PROCESS FAULT - AGC 2,1002
PROCESS FAULT - AGC 3,1003
PROCESS FAULT - AGC 4,1004
PROCESS FAULT - AGC 5,1005
PROCESS FAULT - AGC 6,1006
PROCESS FAULT - AGC 7,1007
PROCESS FAULT - AGC 8,1008
PROCESS FAULT - AGC 9,1009
PROCESS FAULT - AGC 10,1010
PROCESS FAULT - AGC 11,1011
PROCESS FAULT - AGC 12,1012
PROCESS FAULT - AGC 13,1013
PROCESS FAULT - AGC 14,1014
INVALID RUN MODE SELECTED,1101
ELEC FAULT - STA 41,1101
ELEC FAULT - STA 11,1101
ELEC FAULT - STA 31,1101
ELEC FAULT - STA 32,1102
ELEC FAULT - STA 12,1102
ELEC FAULT - STA 42,1102
ELEC FAULT - STA 43,1103
ELEC FAULT - STA 13,1103
ELEC FAULT - STA 33,1103
ELEC FAULT - STA 34,1104
ELEC FAULT - STA 14,1104
ELEC FAULT - STA 44,1104
ELEC FAULT - STA 45,1105
ELEC FAULT - STA 15,1105
ELEC FAULT - STA 35,1105
ELEC FAULT - STA 36,1106
ELEC FAULT - STA 16,1106
ELEC FAULT - STA 46,1106
ELEC FAULT - STA 47,1107
ELEC FAULT - STA 17,1107
ELEC FAULT - STA 37,1107
ELEC FAULT - STA 38,1108
ELEC FAULT - STA 18,1108
ELEC FAULT - STA 48,1108
ELEC FAULT - STA 49,1109
ELEC FAULT - STA 19,1109
ELEC FAULT - STA 39,1109
ELEC FAULT - STA 40,1110
ELEC FAULT - STA 20,1110
ELEC FAULT - STA 50,1110
ELEC FAULT - STA 51,1111
ELEC FAULT - STA 21,1111
ELEC FAULT - REPAIR IN,1111
ELEC FAULT - REPAIR OUT,1112
ELEC FAULT - STA 22,1112
ELEC FAULT - STA 52,1112
ELEC FAULT - STA 53,1113
ELEC FAULT - STA 23,1113
ELEC FAULT - TCI,1113
ELEC FAULT - STA 24,1114
ELEC FAULT - STA 54,1114
ELEC FAULT - STA 55,1115
ELEC FAULT - STA 25,1115
ELEC FAULT - STA 26,1116
ELEC FAULT - STA 56,1116
ELEC FAULT - STA 57,1117
ELEC FAULT - STA 27,1117
ELEC FAULT - STA 28,1118
