"dt_name","dt_code","dt_wcm","dt_group","dt_class","dt_cluster","dt_priority","dt_user_selectable","oeeType","fault_code"
"","Catches fault codes with no SDC","","","","LN51States","-1","false","Performance","-9000"
"","Running","","","","LN51States","-1","false","Running","0"
"","E - Stop","","","","LN51States","-1","false","Performance","1"
"","C - Stop","","","","LN51States","-1","false","Performance","2"
"","M-Stop","","","","LN51States","-1","false","Performance","4"
"","Photoeye","","","","LN51States","-1","false","Performance","8"
"","Break","","","","LN51States","-1","false","Planned","-1000"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN51States","-1","false","Performance","17"
"","CLEAN OUT ACTIVE","","","","LN51States","-1","false","Performance","32"
"","Breakdown-Machine","Machine","Assembly Tools","Electrical","LN51States","-1","true","Performance","200"
"","Breakdown-Machine","Machine","Assembly Tools","Mechanical","LN51States","-1","true","Performance","201"
"","Breakdown-Machine","Machine","Assembly Tools","Hydraulic","LN51States","-1","true","Performance","202"
"","Breakdown-Machine","Machine","Assembly Tools","Pneumatic","LN51States","-1","true","Performance","203"
"","Breakdown-Machine","Machine","Assembly Tools","Communication","LN51States","-1","true","Performance","205"
"","Breakdown-Machine","Machine","Assembly Tools","Software","LN51States","-1","true","Performance","206"
"","Breakdown-Machine","Machine","Conveyors","Electrical","LN51States","-1","true","Performance","207"
"","Breakdown-Machine","Machine","Conveyors","Mechanical","LN51States","-1","true","Performance","208"
"","Breakdown-Machine","Machine","Conveyors","Hydraulic","LN51States","-1","true","Performance","209"
"","Breakdown-Machine","Machine","Conveyors","Pneumatic","LN51States","-1","true","Performance","210"
"","Breakdown-Machine","Machine","Conveyors","Communication","LN51States","-1","true","Performance","212"
"","Breakdown-Machine","Machine","Conveyors","Software","LN51States","-1","true","Performance","213"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Electrical","LN51States","-1","true","Performance","214"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Mechanical","LN51States","-1","true","Performance","215"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Hydraulic","LN51States","-1","true","Performance","216"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Pneumatic","LN51States","-1","true","Performance","217"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Communication","LN51States","-1","true","Performance","219"
"","Breakdown-Machine","Machine","Elevators & Z Loaders","Software","LN51States","-1","true","Performance","220"
"","Breakdown-Machine","Machine","Flippers ","Electrical","LN51States","-1","true","Performance","221"
"","Breakdown-Machine","Machine","Flippers ","Mechanical","LN51States","-1","true","Performance","222"
"","Breakdown-Machine","Machine","Flippers ","Hydraulic","LN51States","-1","true","Performance","223"
"","Breakdown-Machine","Machine","Flippers ","Pneumatic","LN51States","-1","true","Performance","224"
"","Breakdown-Machine","Machine","Flippers ","Communication","LN51States","-1","true","Performance","226"
"","Breakdown-Machine","Machine","Flippers ","Software","LN51States","-1","true","Performance","227"
"","Breakdown-Machine","Machine","R600 Charge Cell & Chargeboards","Electrical","LN51States","-1","true","Performance","228"
"","Breakdown-Machine","Machine","R600 Charge Cell & Chargeboards","Mechanical","LN51States","-1","true","Performance","229"
"","Breakdown-Machine","Machine","R600 Charge Cell & Chargeboards","Hydraulic","LN51States","-1","true","Performance","230"
"","Breakdown-Machine","Machine","R600 Charge Cell & Chargeboards","Pneumatic","LN51States","-1","true","Performance","231"
"","Breakdown-Machine","Machine","R600 Charge Cell & Chargeboards","Communication","LN51States","-1","true","Performance","233"
"","Breakdown-Machine","Machine","R600 Charge Cell & Chargeboards","Software","LN51States","-1","true","Performance","234"
"","Breakdown-Machine","Machine","Test Equipment","Electrical","LN51States","-1","true","Performance","235"
"","Breakdown-Machine","Machine","Test Equipment","Mechanical","LN51States","-1","true","Performance","236"
"","Breakdown-Machine","Machine","Test Equipment","Hydraulic","LN51States","-1","true","Performance","237"
"","Breakdown-Machine","Machine","Test Equipment","Pneumatic","LN51States","-1","true","Performance","238"
"","Breakdown-Machine","Machine","Test Equipment","Communication","LN51States","-1","true","Performance","240"
"","Breakdown-Machine","Machine","Test Equipment","Software","LN51States","-1","true","Performance","241"
"","Breakdown-Machine","Machine","Vacuum Loop","Electrical","LN51States","-1","true","Performance","242"
"","Breakdown-Machine","Machine","Vacuum Loop","Mechanical","LN51States","-1","true","Performance","243"
"","Breakdown-Machine","Machine","Vacuum Loop","Hydraulic","LN51States","-1","true","Performance","244"
"","Breakdown-Machine","Machine","Vacuum Loop","Pneumatic","LN51States","-1","true","Performance","245"
"","Breakdown-Machine","Machine","Vacuum Loop","Communication","LN51States","-1","true","Performance","247"
"","Breakdown-Machine","Machine","Vacuum Loop","Software","LN51States","-1","true","Performance","248"
"","Breakdown-Machine","Machine","Kit Loader","Electrical","LN51States","-1","true","Performance","249"
"","Breakdown-Machine","Machine","Kit Loader","Mechanical","LN51States","-1","true","Performance","250"
"","Breakdown-Machine","Machine","Kit Loader","Hydraulic","LN51States","-1","true","Performance","251"
"","Breakdown-Machine","Machine","Kit Loader","Pneumatic","LN51States","-1","true","Performance","252"
"","Breakdown-Machine","Machine","Kit Loader","Communication","LN51States","-1","true","Performance","254"
"","Breakdown-Machine","Machine","Kit Loader","Software","LN51States","-1","true","Performance","255"
"","Breakdown-Machine","Machine","Cab Foam","Electrical","LN51States","-1","true","Performance","256"
"","Breakdown-Machine","Machine","Cab Foam","Mechanical","LN51States","-1","true","Performance","257"
"","Breakdown-Machine","Machine","Cab Foam","Hydraulic","LN51States","-1","true","Performance","258"
"","Breakdown-Machine","Machine","Cab Foam","Pneumatic","LN51States","-1","true","Performance","259"
"","Breakdown-Machine","Machine","Cab Foam","Communication","LN51States","-1","true","Performance","261"
"","Breakdown-Machine","Machine","Cab Foam","Software","LN51States","-1","true","Performance","262"
"","Absenteeism / Turnover","Production","Labor","Shortage- General","LN51States","-1","true","Performance","263"
"","Absenteeism / Turnover","Production","Labor","Shortage due to Weather","LN51States","-1","true","Performance","264"
"","LOQ - Method","Production","Assembly","Workload Balance","LN51States","-1","true","Performance","265"
"","Training","Production","Assembly","Operator Training- Farmed In","LN51States","-1","true","Performance","266"
"","Training","Production","Assembly","Operator Training- New Hire Under 14d","LN51States","-1","true","Performance","267"
"","LOQ - Man","Production","Assembly","Model Change Error","LN51States","-1","true","Performance","268"
"","LOQ - Man","Production","Assembly","Operator Related Error","LN51States","-1","true","Performance","269"
"","Mgmt / Extra time","Production","Assembly","Shift Start Late","LN51States","-1","true","Performance","270"
"","Absenteeism","Production","Assembly","Break Return Late","LN51States","-1","true","Performance","271"
"","Blocked","Production","Blocked","Blocked by Main Line","LN51States","-1","true","Performance","272"
"","Blocked","Production","Blocked","Blocked by Cab Foam","LN51States","-1","true","Performance","273"
"","Blocked","Production","Blocked","Blocked by Foam Inspection","LN51States","-1","true","Performance","274"
"","Blocked","Production","Blocked","Blocked by Clear Pack","LN51States","-1","true","Performance","275"
"","Blocked","Production","Blocked","Blocked by Shipping","LN51States","-1","true","Performance","276"
"","Blocked","Production","Blocked","Blocked by Repair","LN51States","-1","true","Performance","277"
"","Blocked","Production","Blocked","Blocked by R600 Repair","LN51States","-1","true","Performance","278"
"","Starved","Production","Starved by Sub-Assembly","Starved by Pre-Foam","LN51States","-1","true","Performance","279"
"","Starved","Production","Starved by Sub-Assembly","Starved by Compressor Build","LN51States","-1","true","Performance","280"
"","Starved","Production","Starved by Sub-Assembly","Starved by Evaporator Build","LN51States","-1","true","Performance","281"
"","Starved","Production","Starved by Sub-Assembly","Starved by Cab Foam","LN51States","-1","true","Performance","282"
"","Starved","Production","Starved by Sub-Assembly","Starved by Liner Line- Fresh Food","LN51States","-1","true","Performance","283"
"","Starved","Production","Starved by Sub-Assembly","Starved by Liner Line- Freezer","LN51States","-1","true","Performance","284"
"","Starved","Production","Starved by Sub-Assembly","Starved by Door Decouple","LN51States","-1","true","Performance","285"
"","Starved","Production","Starved by Sub-Assembly","Starved by Doll House","LN51States","-1","true","Performance","286"
"","Starved","Production","Starved by Sub-Assembly","Starved by Pre Kit Conveyor","LN51States","-1","true","Performance","287"
