"","Fault Code","Event Description","zoneID"
"Conveyor Zone 1","17","SCHEDULED RUN (OFF AT PANEL)","6"
"Conveyor Zone 3","17","SCHEDULED RUN (OFF AT PANEL)","8"
"Conveyor Zone 2","17","SCHEDULED RUN (OFF AT PANEL)","7"
"Conveyor Zone 2","1001","Conveyor VFD 1 Faulted","7"
"Conveyor Zone 3","1001","Conveyor VFD 1 Faulted","8"
"Oberon AGC","1001","PROCESS FAULT - AGC 1","5"
"Oberon AGC","1002","PROCESS FAULT - AGC 2","5"
"Oberon AGC","1003","PROCESS FAULT - AGC 3","5"
"Oberon AGC","1004","PROCESS FAULT - AGC 4","5"
"Oberon AGC","1005","PROCESS FAULT - AGC 5","5"
"Oberon AGC","1006","PROCESS FAULT - AGC 6","5"
"Oberon AGC","1007","PROCESS FAULT - AGC 7","5"
"Oberon AGC","1008","PROCESS FAULT - AGC 8","5"
"Oberon AGC","1009","PROCESS FAULT - AGC 9","5"
"Oberon AGC","1010","PROCESS FAULT - AGC 10","5"
"Oberon AGC","1011","PROCESS FAULT - AGC 11","5"
"Oberon AGC","1012","PROCESS FAULT - AGC 12","5"
"Oberon AGC","1013","PROCESS FAULT - AGC 13","5"
"Oberon AGC","1014","PROCESS FAULT - AGC 14","5"
"Oberon AGC","1101","INVALID RUN MODE SELECTED","5"
"Conveyor Zone 3","1101","ELEC FAULT - STA 41","8"
"Conveyor Zone 1","1101","ELEC FAULT - STA 11","6"
"Conveyor Zone 2","1101","ELEC FAULT - STA 31","7"
"Conveyor Zone 2","1102","ELEC FAULT - STA 32","7"
"Conveyor Zone 1","1102","ELEC FAULT - STA 12","6"
"Conveyor Zone 3","1102","ELEC FAULT - STA 42","8"
"Conveyor Zone 3","1103","ELEC FAULT - STA 43","8"
"Conveyor Zone 1","1103","ELEC FAULT - STA 13","6"
"Conveyor Zone 2","1103","ELEC FAULT - STA 33","7"
"Conveyor Zone 2","1104","ELEC FAULT - STA 34","7"
"Conveyor Zone 1","1104","ELEC FAULT - STA 14","6"
"Conveyor Zone 3","1104","ELEC FAULT - STA 44","8"
"Conveyor Zone 3","1105","ELEC FAULT - STA 45","8"
"Conveyor Zone 1","1105","ELEC FAULT - STA 15","6"
"Conveyor Zone 2","1105","ELEC FAULT - STA 35","7"
"Conveyor Zone 2","1106","ELEC FAULT - STA 36","7"
"Conveyor Zone 1","1106","ELEC FAULT - STA 16","6"
"Conveyor Zone 3","1106","ELEC FAULT - STA 46","8"
"Conveyor Zone 3","1107","ELEC FAULT - STA 47","8"
"Conveyor Zone 1","1107","ELEC FAULT - STA 17","6"
"Conveyor Zone 2","1107","ELEC FAULT - STA 37","7"
"Conveyor Zone 2","1108","ELEC FAULT - STA 38","7"
"Conveyor Zone 1","1108","ELEC FAULT - STA 18","6"
"Conveyor Zone 3","1108","ELEC FAULT - STA 48","8"
"Conveyor Zone 3","1109","ELEC FAULT - STA 49","8"
"Conveyor Zone 1","1109","ELEC FAULT - STA 19","6"
"Conveyor Zone 2","1109","ELEC FAULT - STA 39","7"
