zoneID	Group	Fault Code	Event Description
1	Pre Foam	17	SCHEDULED RUN (OFF AT PANEL)
9	Inspection	32	CLEAN OUT ACTIVE
1	Pre Foam	1001	ELEC FAULT-CONV 11-B010
1	Pre Foam	1002	ELEC FAULT-CONV 11-B020
1	Pre Foam	1003	ELEC FAULT-CONV 11-B025
1	Pre Foam	1004	ELEC FAULT-CONV 11-B030
1	Pre Foam	1005	ELEC FAULT-CONV 11-B050
1	Pre Foam	1006	ELEC FAULT-CONV 11-B053
1	Pre Foam	1007	ELEC FAULT ZONE 1-7
1	Pre Foam	1008	ELEC FAULT ZONE 1-8
1	Pre Foam	1009	ELEC FAULT ZONE 1-9
1	Pre Foam	1010	ELEC FAULT ZONE 1-10
1	Pre Foam	1011	ELEC FAULT ZONE 1-11
1	Pre Foam	1012	ELEC FAULT ZONE 1-12
1	Pre Foam	1013	ELEC FAULT ZONE 1-13
1	Pre Foam	1014	ELEC FAULT ZONE 1-14
1	Pre Foam	1015	ELEC FAULT ZONE 1-15
1	Pre Foam	1016	ELEC FAULT ZONE 1-16
1	Pre Foam	1017	ELEC FAULT ZONE 1-17
1	Pre Foam	1018	ELEC FAULT ZONE 1-18
1	Pre Foam	1019	ELEC FAULT ZONE 1-19
1	Pre Foam	1020	ELEC FAULT ZONE 1-20
1	Pre Foam	1021	ELEC FAULT ZONE 1-21
1	Pre Foam	1022	ELEC FAULT ZONE 1-22
1	Pre Foam	1023	ELEC FAULT ZONE 1-23
1	Pre Foam	1024	ELEC FAULT ZONE 1-24
1	Pre Foam	1025	ELEC FAULT ZONE 1-25
1	Pre Foam	1026	ELEC FAULT ZONE 1-26
1	Pre Foam	1027	ELEC FAULT ZONE 1-27
1	Pre Foam	1028	PANEL 05-B010 STOP
1	Pre Foam	1029	PANEL 05-B010 I/O FAULT
1	Pre Foam	1030	PANEL 05-B010 MCR FAULT
2	Side Line	1031	ELEC FAULT-CONV 11-B056
2	Side Line	1032	ELEC FAULT-CONV 11-B064
2	Side Line	1033	ELEC FAULT-CONV 11-B080
2	Side Line	1034	ELEC FAULT-CONV 11-B090
2	Side Line	1035	ELEC FAULT-CONV 11-B110
2	Side Line	1036	ELEC FAULT-CONV 25-B120
2	Side Line	1037	ELEC FAULT-CONV 11-B120
2	Side Line	1038	ELEC FAULT-CONV 11-B130
2	Side Line	1039	ELEC FAULT-CONV 11-B140
2	Side Line	1040	ELEC FAULT-CONV 11-B150
2	Side Line	1041	ELEC FAULT-CONV 25-B150
2	Side Line	1042	ELEC FAULT ZONE 12
2	Side Line	1043	ELEC FAULT ZONE 13
2	Side Line	1044	ELEC FAULT ZONE 14
2	Side Line	1045	ELEC FAULT ZONE 15
2	Side Line	1046	ELEC FAULT ZONE 16
2	Side Line	1047	ELEC FAULT ZONE 17
2	Side Line	1048	ELEC FAULT ZONE 18
2	Side Line	1049	ELEC FAULT ZONE 19
2	Side Line	1050	ELEC FAULT ZONE 20
2	Side Line	1051	ELEC FAULT ZONE 21
2	Side Line	1052	ELEC FAULT ZONE 22
2	Side Line	1053	ELEC FAULT ZONE 23
2	Side Line	1054	ELEC FAULT ZONE 24
2	Side Line	1055	PANEL 05-B020 STOP
2	Side Line	1056	PANEL 05-B020 I/O FAULT
2	Side Line	1057	PANEL 05-B020 MCR FAULT
2	Side Line	1058	PANEL 05-B030 STOP
2	Side Line	1059	PANEL 05-B030 I/O FAULT
2	Side Line	1060	PANEL 05-B030 MCR FAULT
3	Charge Loop	1061	ELEC FAULT-CONV 11-B170
3	Charge Loop	1062	ELEC FAULT-CONV 11-B180
3	Charge Loop	1063	ELEC FAULT-CONV 11-B190
3	Charge Loop	1064	ELEC FAULT-CONV 11-B200
3	Charge Loop	1065	ELEC FAULT-CONV 11-B210
3	Charge Loop	1066	ELEC FAULT-CONV 11-B218
3	Charge Loop	1067	ELEC FAULT-CONV 11-B220
3	Charge Loop	1068	ELEC FAULT-CONV 11-B230
3	Charge Loop	1069	ELEC FAULT-CONV 11-B240
3	Charge Loop	1070	ELEC FAULT ZONE 3-10
3	Charge Loop	1071	ELEC FAULT ZONE 3-11
3	Charge Loop	1072	ELEC FAULT ZONE 3-12
3	Charge Loop	1073	ELEC FAULT ZONE 3-13
3	Charge Loop	1074	ELEC FAULT ZONE 3-14
3	Charge Loop	1075	ELEC FAULT ZONE 3-15
3	Charge Loop	1076	ELEC FAULT ZONE 3-16
3	Charge Loop	1077	ELEC FAULT ZONE 3-17
3	Charge Loop	1078	ELEC FAULT ZONE 3-18
3	Charge Loop	1079	ELEC FAULT ZONE 3-19
3	Charge Loop	1080	ELEC FAULT ZONE 3-20
3	Charge Loop	1081	ELEC FAULT ZONE 3-21
3	Charge Loop	1082	ELEC FAULT ZONE 3-22
3	Charge Loop	1083	ELEC FAULT ZONE 3-23
3	Charge Loop	1084	ELEC FAULT ZONE 3-24
3	Charge Loop	1085	ELEC FAULT ZONE 3-25
3	Charge Loop	1086	EVAC PANEL STOP
3	Charge Loop	1087	EVAC PANEL I/O FAULT
3	Charge Loop	1088	EVAC PANEL MCR FAULT
3	Charge Loop	1089	POWERRAIL DISCONNECT OFF
3	Charge Loop	1090	EVAC POWERRAIL FAULT
4	Doors	1091	ELEC FAULT-CONV 11-B250
4	Doors	1092	ELEC FAULT-CONV 11-B260
4	Doors	1093	ELEC FAULT-CONV 11-B270
4	Doors	1094	ELEC FAULT ZONE 4-4
4	Doors	1095	ELEC FAULT ZONE 4-5
4	Doors	1096	ELEC FAULT ZONE 4-6
4	Doors	1097	ELEC FAULT ZONE 4-7
4	Doors	1098	ELEC FAULT ZONE 4-8
4	Doors	1099	ELEC FAULT ZONE 4-9
4	Doors	1100	ELEC FAULT ZONE 4-10
4	Doors	1101	ELEC FAULT ZONE 4-11
4	Doors	1102	ELEC FAULT ZONE 4-12
4	Doors	1103	ELEC FAULT ZONE 4-13
