"dt_name","dt_code","dt_wcm","dt_group","dt_class","dt_cluster","dt_priority","dt_user_selectable","oeeType","fault_code"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52states","-1","False","Performance","17"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52states","-1","False","Performance","18"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52states","-1","False","Performance","19"
"","Conveyor VFD 1 Faulted","","","","LN52states","-1","False","Performance","1001"
"","Conveyor VFD 1 Faulted","","","","LN52states","-1","False","Performance","1002"
"","PROCESS FAULT - AGC 1","","","","LN52states","-1","False","Performance","1003"
"","PROCESS FAULT - AGC 2","","","","LN52states","-1","False","Performance","1004"
"","PROCESS FAULT - AGC 3","","","","LN52states","-1","False","Performance","1005"
"","PROCESS FAULT - AGC 4","","","","LN52states","-1","False","Performance","1006"
"","PROCESS FAULT - AGC 5","","","","LN52states","-1","False","Performance","1007"
"","PROCESS FAULT - AGC 6","","","","LN52states","-1","False","Performance","1008"
"","PROCESS FAULT - AGC 7","","","","LN52states","-1","False","Performance","1009"
"","PROCESS FAULT - AGC 8","","","","LN52states","-1","False","Performance","1010"
"","PROCESS FAULT - AGC 9","","","","LN52states","-1","False","Performance","1011"
"","PROCESS FAULT - AGC 10","","","","LN52states","-1","False","Performance","1012"
"","PROCESS FAULT - AGC 11","","","","LN52states","-1","False","Performance","1013"
"","PROCESS FAULT - AGC 12","","","","LN52states","-1","False","Performance","1014"
"","PROCESS FAULT - AGC 13","","","","LN52states","-1","False","Performance","1015"
"","PROCESS FAULT - AGC 14","","","","LN52states","-1","False","Performance","1016"
"","INVALID RUN MODE SELECTED","","","","LN52states","-1","False","Performance","1017"
"","ELEC FAULT - STA 41","","","","LN52states","-1","False","Performance","1018"
"","ELEC FAULT - STA 11","","","","LN52states","-1","False","Performance","1019"
"","ELEC FAULT - STA 31","","","","LN52states","-1","False","Performance","1020"
"","ELEC FAULT - STA 32","","","","LN52states","-1","False","Performance","1021"
"","ELEC FAULT - STA 12","","","","LN52states","-1","False","Performance","1022"
"","ELEC FAULT - STA 42","","","","LN52states","-1","False","Performance","1023"
"","ELEC FAULT - STA 43","","","","LN52states","-1","False","Performance","1024"
"","ELEC FAULT - STA 13","","","","LN52states","-1","False","Performance","1025"
"","ELEC FAULT - STA 33","","","","LN52states","-1","False","Performance","1026"
"","ELEC FAULT - STA 34","","","","LN52states","-1","False","Performance","1027"
"","ELEC FAULT - STA 14","","","","LN52states","-1","False","Performance","1028"
"","ELEC FAULT - STA 44","","","","LN52states","-1","False","Performance","1029"
"","ELEC FAULT - STA 45","","","","LN52states","-1","False","Performance","1030"
"","ELEC FAULT - STA 15","","","","LN52states","-1","False","Performance","1031"
"","ELEC FAULT - STA 35","","","","LN52states","-1","False","Performance","1032"
"","ELEC FAULT - STA 36","","","","LN52states","-1","False","Performance","1033"
"","ELEC FAULT - STA 16","","","","LN52states","-1","False","Performance","1034"
"","ELEC FAULT - STA 46","","","","LN52states","-1","False","Performance","1035"
"","ELEC FAULT - STA 47","","","","LN52states","-1","False","Performance","1036"
"","ELEC FAULT - STA 17","","","","LN52states","-1","False","Performance","1037"
"","ELEC FAULT - STA 37","","","","LN52states","-1","False","Performance","1038"
"","ELEC FAULT - STA 38","","","","LN52states","-1","False","Performance","1039"
"","ELEC FAULT - STA 18","","","","LN52states","-1","False","Performance","1040"
"","ELEC FAULT - STA 48","","","","LN52states","-1","False","Performance","1041"
"","ELEC FAULT - STA 49","","","","LN52states","-1","False","Performance","1042"
"","ELEC FAULT - STA 19","","","","LN52states","-1","False","Performance","1043"
"","ELEC FAULT - STA 39","","","","LN52states","-1","False","Performance","1044"
"","ELEC FAULT - STA 40","","","","LN52states","-1","False","Performance","1045"
"","ELEC FAULT - STA 20","","","","LN52states","-1","False","Performance","1046"
"","ELEC FAULT - STA 50","","","","LN52states","-1","False","Performance","1047"
"","ELEC FAULT - STA 51","","","","LN52states","-1","False","Performance","1048"
"","ELEC FAULT - STA 21","","","","LN52states","-1","False","Performance","1049"
"","ELEC FAULT - REPAIR IN","","","","LN52states","-1","False","Performance","1050"
"","ELEC FAULT - REPAIR OUT","","","","LN52states","-1","False","Performance","1051"
"","ELEC FAULT - STA 22","","","","LN52states","-1","False","Performance","1052"
"","ELEC FAULT - STA 52","","","","LN52states","-1","False","Performance","1053"
"","ELEC FAULT - STA 53","","","","LN52states","-1","False","Performance","1054"
"","ELEC FAULT - STA 23","","","","LN52states","-1","False","Performance","1055"
"","ELEC FAULT - TCI","","","","LN52states","-1","False","Performance","1056"
"","ELEC FAULT - STA 24","","","","LN52states","-1","False","Performance","1057"
"","ELEC FAULT - STA 54","","","","LN52states","-1","False","Performance","1058"
"","ELEC FAULT - STA 55","","","","LN52states","-1","False","Performance","1059"
"","ELEC FAULT - STA 25","","","","LN52states","-1","False","Performance","1060"
"","ELEC FAULT - STA 26","","","","LN52states","-1","False","Performance","1061"
"","ELEC FAULT - STA 56","","","","LN52states","-1","False","Performance","1062"
"","ELEC FAULT - STA 57","","","","LN52states","-1","False","Performance","1063"
"","ELEC FAULT - STA 27","","","","LN52states","-1","False","Performance","1064"
"","ELEC FAULT - STA 28","","","","LN52states","-1","False","Performance","1065"
