"dt_name","dt_code","dt_wcm","dt_group","dt_class","dt_cluster","dt_priority","dt_user_selectable","oeeType","fault_code"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52states","-1","false","Performance","17"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52states","-1","false","Performance","17"
"","SCHEDULED RUN (OFF AT PANEL)","","","","LN52states","-1","false","Performance","17"
"","Conveyor VFD 1 Faulted","","","","LN52states","-1","false","Performance","1001"
"","Conveyor VFD 1 Faulted","","","","LN52states","-1","false","Performance","1001"
"","PROCESS FAULT - AGC 1","","","","LN52states","-1","false","Performance","1001"
"","PROCESS FAULT - AGC 2","","","","LN52states","-1","false","Performance","1002"
"","PROCESS FAULT - AGC 3","","","","LN52states","-1","false","Performance","1003"
"","PROCESS FAULT - AGC 4","","","","LN52states","-1","false","Performance","1004"
"","PROCESS FAULT - AGC 5","","","","LN52states","-1","false","Performance","1005"
"","PROCESS FAULT - AGC 6","","","","LN52states","-1","false","Performance","1006"
"","PROCESS FAULT - AGC 7","","","","LN52states","-1","false","Performance","1007"
"","PROCESS FAULT - AGC 8","","","","LN52states","-1","false","Performance","1008"
"","PROCESS FAULT - AGC 9","","","","LN52states","-1","false","Performance","1009"
"","PROCESS FAULT - AGC 10","","","","LN52states","-1","false","Performance","1010"
"","PROCESS FAULT - AGC 11","","","","LN52states","-1","false","Performance","1011"
"","PROCESS FAULT - AGC 12","","","","LN52states","-1","false","Performance","1012"
"","PROCESS FAULT - AGC 13","","","","LN52states","-1","false","Performance","1013"
"","PROCESS FAULT - AGC 14","","","","LN52states","-1","false","Performance","1014"
"","INVALID RUN MODE SELECTED","","","","LN52states","-1","false","Performance","1101"
"","ELEC FAULT - STA 41","","","","LN52states","-1","false","Performance","1101"
"","ELEC FAULT - STA 11","","","","LN52states","-1","false","Performance","1101"
"","ELEC FAULT - STA 31","","","","LN52states","-1","false","Performance","1101"
"","ELEC FAULT - STA 32","","","","LN52states","-1","false","Performance","1102"
"","ELEC FAULT - STA 12","","","","LN52states","-1","false","Performance","1102"
"","ELEC FAULT - STA 42","","","","LN52states","-1","false","Performance","1102"
"","ELEC FAULT - STA 43","","","","LN52states","-1","false","Performance","1103"
"","ELEC FAULT - STA 13","","","","LN52states","-1","false","Performance","1103"
"","ELEC FAULT - STA 33","","","","LN52states","-1","false","Performance","1103"
"","ELEC FAULT - STA 34","","","","LN52states","-1","false","Performance","1104"
"","ELEC FAULT - STA 14","","","","LN52states","-1","false","Performance","1104"
"","ELEC FAULT - STA 44","","","","LN52states","-1","false","Performance","1104"
"","ELEC FAULT - STA 45","","","","LN52states","-1","false","Performance","1105"
"","ELEC FAULT - STA 15","","","","LN52states","-1","false","Performance","1105"
"","ELEC FAULT - STA 35","","","","LN52states","-1","false","Performance","1105"
"","ELEC FAULT - STA 36","","","","LN52states","-1","false","Performance","1106"
"","ELEC FAULT - STA 16","","","","LN52states","-1","false","Performance","1106"
"","ELEC FAULT - STA 46","","","","LN52states","-1","false","Performance","1106"
"","ELEC FAULT - STA 47","","","","LN52states","-1","false","Performance","1107"
"","ELEC FAULT - STA 17","","","","LN52states","-1","false","Performance","1107"
"","ELEC FAULT - STA 37","","","","LN52states","-1","false","Performance","1107"
"","ELEC FAULT - STA 38","","","","LN52states","-1","false","Performance","1108"
"","ELEC FAULT - STA 18","","","","LN52states","-1","false","Performance","1108"
"","ELEC FAULT - STA 48","","","","LN52states","-1","false","Performance","1108"
"","ELEC FAULT - STA 49","","","","LN52states","-1","false","Performance","1109"
"","ELEC FAULT - STA 19","","","","LN52states","-1","false","Performance","1109"
"","ELEC FAULT - STA 39","","","","LN52states","-1","false","Performance","1109"
"","ELEC FAULT - STA 40","","","","LN52states","-1","false","Performance","1110"
"","ELEC FAULT - STA 20","","","","LN52states","-1","false","Performance","1110"
"","ELEC FAULT - STA 50","","","","LN52states","-1","false","Performance","1110"
"","ELEC FAULT - STA 51","","","","LN52states","-1","false","Performance","1111"
"","ELEC FAULT - STA 21","","","","LN52states","-1","false","Performance","1111"
"","ELEC FAULT - REPAIR IN","","","","LN52states","-1","false","Performance","1111"
"","ELEC FAULT - REPAIR OUT","","","","LN52states","-1","false","Performance","1112"
"","ELEC FAULT - STA 22","","","","LN52states","-1","false","Performance","1112"
"","ELEC FAULT - STA 52","","","","LN52states","-1","false","Performance","1112"
"","ELEC FAULT - STA 53","","","","LN52states","-1","false","Performance","1113"
"","ELEC FAULT - STA 23","","","","LN52states","-1","false","Performance","1113"
"","ELEC FAULT - TCI","","","","LN52states","-1","false","Performance","1113"
"","ELEC FAULT - STA 24","","","","LN52states","-1","false","Performance","1114"
"","ELEC FAULT - STA 54","","","","LN52states","-1","false","Performance","1114"
"","ELEC FAULT - STA 55","","","","LN52states","-1","false","Performance","1115"
"","ELEC FAULT - STA 25","","","","LN52states","-1","false","Performance","1115"
"","ELEC FAULT - STA 26","","","","LN52states","-1","false","Performance","1116"
"","ELEC FAULT - STA 56","","","","LN52states","-1","false","Performance","1116"
"","ELEC FAULT - STA 57","","","","LN52states","-1","false","Performance","1117"
"","ELEC FAULT - STA 27","","","","LN52states","-1","false","Performance","1117"
"","ELEC FAULT - STA 28","","","","LN52states","-1","false","Performance","1118"
"","ELEC FAULT - STA 58","","","","LN52states","-1","false","Performance","1118"
"","ELEC FAULT - STA 59","","","","LN52states","-1","false","Performance","1119"
"","ELEC FAULT - STA 29","","","","LN52states","-1","false","Performance","1119"
"","ELEC FAULT - STA 30","","","","LN52states","-1","false","Performance","1120"
"","ELEC FAULT - STA 60","","","","LN52states","-1","false","Performance","1120"
"","ELEC FAULT - REPAIR IN/OUT","","","","LN52states","-1","false","Performance","1121"
"","PROCESS FAULT - LOAD STA","","","","LN52states","-1","false","Performance","1201"
"","PROCESS FAULT - VISION STA","","","","LN52states","-1","false","Performance","1202"
"","PROCESS FAULT - STA 1","","","","LN52states","-1","false","Performance","1203"
"","PROCESS FAULT - STA 2","","","","LN52states","-1","false","Performance","1204"
"","PROCESS FAULT - STA 3","","","","LN52states","-1","false","Performance","1205"
"","PROCESS FAULT - STA 4","","","","LN52states","-1","false","Performance","1206"
"","PROCESS FAULT - STA 5","","","","LN52states","-1","false","Performance","1207"
"","PROCESS FAULT - STA 6","","","","LN52states","-1","false","Performance","1208"
"","PROCESS FAULT - STA 7","","","","LN52states","-1","false","Performance","1209"
"","PROCESS FAULT - UNLOAD","","","","LN52states","-1","false","Performance","1210"
"","PROCESS FAULT - LOAD HLDBACK","","","","LN52states","-1","false","Performance","1211"
"","PROCESS FAULT - VISION HLDBACK","","","","LN52states","-1","false","Performance","1212"
"","NO PART AT STA 1 HOLDBACK","","","","LN52states","-1","false","Performance","1213"
"","PROCESS FAULT - UNLOAD HLDBACK","","","","LN52states","-1","false","Performance","1214"
"","ESTOP - AGC 1","","","","LN52states","-1","false","Performance","1301"
"","ESTOP - AGC 2","","","","LN52states","-1","false","Performance","1302"
"","ESTOP - AGC 3","","","","LN52states","-1","false","Performance","1303"
"","ESTOP - AGC 4","","","","LN52states","-1","false","Performance","1304"
"","ESTOP - AGC 5","","","","LN52states","-1","false","Performance","1305"
"","ESTOP - AGC 6","","","","LN52states","-1","false","Performance","1306"
"","ESTOP - AGC 7","","","","LN52states","-1","false","Performance","1307"
"","ESTOP - AGC 8","","","","LN52states","-1","false","Performance","1308"
"","ESTOP - AGC 9","","","","LN52states","-1","false","Performance","1309"
"","ESTOP - AGC 10","","","","LN52states","-1","false","Performance","1310"
"","ESTOP - AGC 11","","","","LN52states","-1","false","Performance","1311"
"","ESTOP - AGC 12","","","","LN52states","-1","false","Performance","1312"
"","ESTOP - AGC 13","","","","LN52states","-1","false","Performance","1313"
"","ESTOP - AGC 14","","","","LN52states","-1","false","Performance","1314"
