TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Local:2:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
TAG,,Local:2:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
COMMENT,,Local:2:I,"COMPRESSOR 1 HAND MODE",,"Local:2:I.DATA.0"
TAG,,Local:3:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
TAG,,Local:3:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:4:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
TAG,,Local:4:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:5:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
TAG,,Local:5:I,"","AB:1756_DI:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:I,"","AB:1756_DO_Fused:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:O,"","AB:1756_DO:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:I,"","AB:1756_DO_Fused:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:O,"","AB:1756_DO:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:I,"","AB:1756_DO_Fused:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:O,"","AB:1756_DO:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:I,"","AB:1756_DO_Fused:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:9:O,"","AB:1756_DO:O:0","","(ExternalAccess := Read/Write)"
